Method,Run,Converged,Iterations,Time_ms,Trans_Error_m,Rot_Error_deg,Final_RMSE,Final_Fitness,Corr_Number,Transform_00,Transform_01,Transform_02,Transform_03,Transform_10,Transform_11,Transform_12,Transform_13,Transform_20,Transform_21,Transform_22,Transform_23,Transform_30,Transform_31,Transform_32,Transform_33,SVD_Sigma_0,SVD_Sigma_1,SVD_Sigma_2,SVD_Sigma_3,SVD_Sigma_4,SVD_Sigma_5,EVD_Lambda_0,EVD_Lambda_1,EVD_Lambda_2,EVD_Lambda_3,EVD_Lambda_4,EVD_Lambda_5,Schur_Rot_Lambda_0,Schur_Rot_Lambda_1,Schur_Rot_Lambda_2,Schur_Trans_Lambda_0,Schur_Trans_Lambda_1,Schur_Trans_Lambda_2,Cond_Full_SVD,Cond_Sub_Rot,Cond_Sub_Trans,Cond_Schur_Rot,Cond_Schur_Trans,Degenerate_Mask_0,Degenerate_Mask_1,Degenerate_Mask_2,Degenerate_Mask_3,Degenerate_Mask_4,Degenerate_Mask_5SuperLoc_Has_Data,SuperLoc_Uncertainty_X,SuperLoc_Uncertainty_Y,SuperLoc_Uncertainty_Z,SuperLoc_Uncertainty_Roll,SuperLoc_Uncertainty_Pitch,SuperLoc_Uncertainty_Yaw,SuperLoc_Cond_Full,SuperLoc_Cond_Rot,SuperLoc_Cond_Trans,SuperLoc_Is_Degenerate
FCN-SR,0,0,5000,3017.32,0.962438,3.76452,0.195778,0.0577889,184,0.99936,-0.0329648,-0.0138646,0.197847,0.0321509,0.997951,-0.0553113,0.797773,0.0156595,0.0548302,0.998373,0.500701,0,0,0,11.47039,7.69083,30.2828,1468.08,13825.3,17272.6,1.47039,7.69083,30.2828,1468.08,13825.3,17272.6,0.0,0.0,0.0,0.0,0.0,0.0,5.79639,20.6711,11747,0.0,0.0,1,1,1,1,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
ME-SR,0,0,5000,3002.96,0.961818,3.60909,0.19398,0.0591113,170,0.999478,-0.0291181,-0.014014,0.196356,0.0283182,0.998126,-0.0542409,0.794317,0.0155672,0.0538157,0.99843,0.505567,0,0,0,10.981676,8.10375,28.5399,862.948,13851.3,18577.4,0.981676,8.10375,28.5399,862.948,13851.3,18577.4,0.0,0.0,0.0,0.0,0.0,0.0,4.93181,29.1859,18924.1,0.0,0.0,1,1,1,0,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
ME-TReg,0,0,5000,3107.26,0.0271364,0.0506961,0.0315697,0.206559,7562,1,0.000431126,-0.000754918,0.00799562,-0.00043125,1,-0.000164534,0.000254907,0.000754847,0.000164859,1,0.0259305,0,0,0,115.4842,130.125,181.181,15091.7,62187.4,69197.5,15.4842,130.125,181.181,15091.7,62187.4,69197.5,0.0,0.0,0.0,0.0,0.0,0.0,2.00977,11.7372,4468.9,0.0,0.0,1,0,0,0,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
ME-TSVD,0,0,5000,3107.51,0.0283174,0.962741,0.145655,0.175879,1893,0.999962,-0.000495101,0.00868898,0.0139053,0.000370164,0.999897,0.0143746,0.00957712,-0.0086952,-0.0143708,0.999859,0.0227331,0,0,0,16.56063,78.4262,134.197,12744.3,18859.1,37376.9,6.56063,78.4262,134.197,12744.3,18859.1,37376.9,0.0,0.0,0.0,0.0,0.0,0.0,2.68519,20.5486,5697.15,0.0,0.0,1,1,0,0,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
Ours,0,0,5000,3569.34,0.0271364,0.0506961,0.0315697,0.206559,7562,1,0.000431126,-0.000754918,0.00799561,-0.00043125,1,-0.000164533,0.00025489,0.000754847,0.000164858,1,0.0259305,0,0,0,115.4842,130.125,181.181,15091.7,62187.4,69197.5,15.4842,130.125,181.181,15091.7,62187.4,69197.5,0.0,0.0,0.0,0.0,0.0,0.0,2.00977,11.7372,4468.9,0.0,0.0,0,0,0,1,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
