Method,Run,Converged,Iterations,Time_ms,Trans_Error_m,Rot_Error_deg,ICP_RMSE,ICP_Fitness,P2P_RMSE,P2P_Fitness,Chamfer_Distance
FCN-SR,0,1,12,28.1749,0.962438,3.7645,0.19578,0.0577889,0.0230158,0.0243322,0.931178
ME-SR,0,0,30,17.4412,0.961933,3.65983,0.197329,0.0588469,0.0221671,0.0224808,0.922993
ME-TReg,0,0,30,17.1498,0.221804,0.111776,0.0417733,0.193864,0.102572,0.349643,0.219593
ME-TSVD,0,0,30,18.7212,0.0290957,0.966233,0.145664,0.176937,0.0617157,0.248479,0.34814
Ours,0,1,10,7.00239,0.0271198,0.0507193,0.0315709,0.206559,0.0362168,1,0.0329152
XICP,0,1,9,48.7165,0.0041969,2.86097,0.182705,7.3023,0.0444254,0.100767,0.558768
