Method,Run,Iteration,RMSE,Fitness,Time_ms,Trans_Error_m,Rot_Error_deg,P2P_RMSE,Chamfer_Distance,dx_wx,dx_wy,dx_wz,dx_x,dx_y,dx_z,grad_wx,grad_wy,grad_wz,grad_x,grad_y,grad_z,objective_value,T_00,T_01,T_02,T_03,T_10,T_11,T_12,T_13,T_20,T_21,T_22,T_23,T_30,T_31,T_32,T_33,Cond_Schur_Rot,Cond_Schur_Trans,Cond_Sub_Rot,Cond_Sub_Trans,Cond_Full_SVD,Degenerate_0,Degenerate_1,Degenerate_2,Degenerate_3,Degenerate_4,Degenerate_5,Is_Degenerate
FCN-SR,0,10,0.19579032,0.05778894,1.10200500,3.76442445,0.96243846,0.02301644,0.93116791,0.00000709,0.00001834,-0.00000017,0.00000118,-0.00000040,-0.00000003,0.08995178,-0.33807641,4.13748379,1.04988892,4.19634500,-0.30992116,2.83944239,0.99936029,-0.03296474,-0.01386855,0.19784655,0.03215074,0.99795156,-0.05530834,0.79777365,0.01566336,0.05482708,0.99837300,0.50070124,0.00000000,0.00000000,0.00000000,1.00000000,5.79728291,20.65034958,11.72511546,46.23012216,11734.32624954,1,1,1,1,0,0,1
FCN-SR,0,11,0.19578043,0.05778894,1.35358000,3.76449706,0.96243839,0.02301578,0.93117814,0.00000240,0.00000328,-0.00000001,0.00000021,-0.00000014,-0.00000000,0.16937570,-0.07703590,4.15303207,1.06698250,4.19157152,-0.30975865,2.83926001,0.99936034,-0.03296476,-0.01386519,0.19784676,0.03215090,0.99795143,-0.05531063,0.79777352,0.01566009,0.05482947,0.99837292,0.50070123,0.00000000,0.00000000,0.00000000,1.00000000,5.79572177,20.66543481,11.72590133,46.26898435,11744.00479504,1,1,1,1,0,0,1
ME-SR,0,0,0.31669773,0.05170590,0.69976700,2.78458174,0.96283652,0.01976225,0.81960468,0.03442339,-0.01392616,-0.00476344,-0.00037672,-0.00207184,0.00050906,-11.53098942,58.00713490,10.00087886,4.90875050,1.81945118,0.28048504,3.71012454,0.99948061,-0.03029324,-0.01099259,0.19969673,0.02987342,0.99888587,-0.03653215,0.79791542,0.01208702,0.03618479,0.99927202,0.50050610,0.00000000,0.00000000,0.00000000,1.00000000,7.09889815,26.80557587,13.65817741,85.29248112,14845.67227786,1,1,1,0,0,0,1
ME-SR,0,1,0.24785755,0.06307855,0.54508500,3.56162238,0.96206478,0.02246035,0.90738187,0.01472433,-0.00449237,0.00146494,-0.00035249,-0.00078488,-0.00005804,-131.42232480,47.65847849,-5.55924236,5.29122850,11.45097004,-0.44469259,4.10951058,0.99937658,-0.03194892,-0.01502424,0.19936884,0.03113880,0.99819400,-0.05137232,0.79712301,0.01663840,0.05087246,0.99856655,0.50041544,0.00000000,0.00000000,0.00000000,1.00000000,3.19575513,30.15977711,12.77270215,44.19765333,17953.74575610,1,1,1,0,0,0,1
ME-SR,0,2,0.19885737,0.05818567,0.54963800,3.59595349,0.96200700,0.02224916,0.91586748,0.00187032,0.00123315,-0.00133422,0.00005544,-0.00009122,0.00001283,-32.91981942,-25.05995513,0.97232467,-0.10422583,5.76735844,-0.29522738,2.70187622,0.99943606,-0.03064238,-0.01373329,0.19942697,0.02987150,0.99813691,-0.05320159,0.79703302,0.01533793,0.05276135,0.99848935,0.50042454,0.00000000,0.00000000,0.00000000,1.00000000,5.16283588,32.04011182,16.99926241,42.62770361,19223.80379024,1,1,1,0,0,0,1
ME-SR,0,3,0.20026495,0.05897911,0.55873200,3.57508179,0.96199491,0.02187430,0.91770435,0.00052944,0.00022877,-0.00161886,-0.00001354,-0.00002035,0.00001780,-8.19467924,-4.66548394,1.37014033,0.90337020,4.68663644,-0.38935310,2.79271736,0.99948748,-0.02903159,-0.01348885,0.19941381,0.02826787,0.99815566,-0.05372340,0.79701136,0.01502365,0.05331456,0.99846475,0.50044102,0.00000000,0.00000000,0.00000000,1.00000000,4.60936158,31.24054971,19.25052709,46.07748378,19477.07663267,1,1,1,0,0,0,1
ME-SR,0,4,0.20033108,0.05765670,0.62379100,3.54744828,0.96195925,0.02377058,0.92132926,0.00065467,-0.00069211,-0.00276184,-0.00011781,-0.00002515,0.00002916,-7.45218707,10.17354995,2.67778492,2.03320314,4.16492921,-0.34735618,2.66050492,0.99955429,-0.02628013,-0.01416252,0.19929640,0.02547365,0.99819448,-0.05439547,0.79698137,0.01556647,0.05401046,0.99841903,0.50046703,0.00000000,0.00000000,0.00000000,1.00000000,4.02322156,27.76012188,17.68147835,42.23066408,18212.93150257,1,1,1,0,0,0,1
ME-SR,0,5,0.20868641,0.05805343,0.58171200,3.61942138,0.96189962,0.02323970,0.92785663,0.00086209,-0.00014527,0.00110652,-0.00001662,-0.00005970,-0.00001057,-11.72402327,0.63604601,-2.67904302,1.64617900,4.12041927,-0.17592167,2.92234598,0.99952253,-0.02739840,-0.01428459,0.19928151,0.02657017,0.99811842,-0.05525975,0.79692193,0.01577174,0.05485382,0.99836983,0.50045299,0.00000000,0.00000000,0.00000000,1.00000000,3.73720750,39.46243835,7.60528452,53.31859476,23157.18979684,1,1,1,0,0,0,1
ME-SR,0,6,0.20535565,0.05871463,0.58529400,3.62497215,0.96188936,0.02453688,0.92991928,0.00041773,0.00025857,-0.00049041,0.00000937,-0.00001702,0.00000420,-5.63118066,-4.91528740,0.62922512,1.09452297,4.09927445,-0.21433564,2.97082816,0.99953950,-0.02691413,-0.01401479,0.19929128,0.02609503,0.99810817,-0.05566989,0.79690496,0.01548658,0.05527854,0.99835086,0.50045640,0.00000000,0.00000000,0.00000000,1.00000000,4.58062499,37.30481237,11.74854899,55.03313512,23405.57706749,1,1,1,0,0,0,1
ME-SR,0,7,0.20797313,0.05792118,0.66845600,3.73912105,0.96179041,0.02335416,0.93766865,0.00090717,-0.00018383,0.00267524,-0.00000439,-0.00010598,-0.00001660,-11.27492682,1.63777056,-3.98234564,1.66588300,4.00638386,-0.03839145,2.94730352,0.99946132,-0.02960082,-0.01417289,0.19928998,0.02875472,0.99798388,-0.05658033,0.79679998,0.01581914,0.05614231,0.99829745,0.50043390,0.00000000,0.00000000,0.00000000,1.00000000,4.60035231,30.76477792,10.46083647,51.58645091,18043.74095601,1,1,1,0,0,0,1
