Method,Iteration,RMSE,Fitness,TransError,RotError,CorrNum
ME-TSVD,18,0.14528205,0.17733404,0.02724797,0.97440207,812
ME-TSVD,19,0.14566938,0.17693732,0.02910053,0.96627380,812
ME-TSVD,20,0.14528087,0.17733404,0.02724702,0.97439308,812
ME-TSVD,21,0.14566821,0.17693732,0.02909932,0.96626629,812
ME-TSVD,22,0.14527976,0.17733404,0.02724619,0.97438564,812
ME-TSVD,23,0.14566706,0.17693732,0.02909850,0.96625716,812
ME-TSVD,24,0.14527862,0.17733404,0.02724527,0.97437703,812
ME-TSVD,25,0.14566587,0.17693732,0.02909811,0.96624876,812
ME-TSVD,26,0.14527740,0.17733404,0.02724420,0.97436863,812
ME-TSVD,27,0.14566472,0.17693732,0.02909674,0.96624134,812
ME-TSVD,28,0.14527628,0.17733404,0.02724350,0.97436128,812
ME-TSVD,29,0.14566358,0.17693732,0.02909572,0.96623325,812
Ours,0,0.31669773,0.05170590,0.78527393,2.41237747,197
Ours,1,0.15691844,0.08595610,0.77281577,1.49174862,428
Ours,2,0.11225592,0.10671780,0.24738271,0.57923592,602
Ours,3,0.06720130,0.18725205,0.08691692,0.12256376,848
Ours,4,0.03611498,0.20312087,0.01528875,0.03516534,875
Ours,5,0.03159402,0.20616239,0.02414953,0.04650597,873
Ours,6,0.03147440,0.20642687,0.02566537,0.05120795,880
Ours,7,0.03151275,0.20603015,0.02583969,0.05159421,878
Ours,8,0.03161585,0.20629463,0.02697906,0.05083366,880
Ours,9,0.03157087,0.20655911,0.02711978,0.05071930,882
XICP,0,0.51771549,0.83364189,0.03612254,2.02486118,212
XICP,1,0.35864757,1.76408358,0.00454347,2.09752424,211
XICP,2,0.29237793,2.68936789,0.00407734,2.23365801,214
XICP,3,0.25385522,3.61438773,0.00339018,2.43216693,206
XICP,4,0.22798494,4.53715948,0.00373223,2.62338341,212
XICP,5,0.20902081,5.45821211,0.00369042,2.79364160,214
XICP,6,0.19440995,6.38085163,0.00425899,2.85960851,205
XICP,7,0.18270520,7.30230098,0.00419690,2.86096893,207
