Method,Iteration,Effective_Points,RMSE,Fitness,Cond_Schur_Rot,Cond_Schur_Trans,Cond_Diag_Rot,Cond_Diag_Trans,Cond_Full_EVD_Sub_Rot,Cond_Full_EVD_Sub_Trans,Cond_Full_SVD,Lambda_Schur_Rot_0,Lambda_Schur_Rot_1,Lambda_Schur_Rot_2,Lambda_Schur_Trans_0,Lambda_Schur_Trans_1,Lambda_Schur_Trans_2,Eigenvalues_Full_0,Eigenvalues_Full_1,Eigenvalues_Full_2,Eigenvalues_Full_3,Eigenvalues_Full_4,Eigenvalues_Full_5,Singular_Values_0,Singular_Values_1,Singular_Values_2,Singular_Values_3,Singular_Values_4,Singular_Values_5,Is_Degenerate,Degenerate_Mask_0,Degenerate_Mask_1,Degenerate_Mask_2,Degenerate_Mask_3,Degenerate_Mask_4,Degenerate_Mask_5
ME-SR,1,285,0.247858,0.0630786,3.19576,30.1598,12.7727,44.1977,12.8262,30.0508,17953.7,1073.9,1265,3431.93,0.888306,7.59169,26.7911,0.887913,7.56954,26.6825,1242.88,9033.81,15941.4,15941.4,9033.81,1242.88,26.6825,7.56954,0.887913,1,1,1,1,0,0,0
ME-SR,2,287,0.198857,0.0581857,5.16284,32.0401,16.9993,42.6277,17.0514,31.93,19223.8,780.954,1746.86,4031.94,0.983951,9.78757,31.5259,0.983407,9.75052,31.4002,1108.69,14714.6,18904.8,18904.8,14714.6,1108.69,31.4002,9.75052,0.983407,1,1,1,1,0,0,0
ME-SR,3,289,0.200265,0.0589791,4.60936,31.2405,19.2505,46.0775,19.3146,31.1283,19477.1,750.496,1535.84,3459.31,0.931677,8.80928,29.1061,0.931249,8.77434,28.9882,939.083,14693.2,18138,18138,14693.2,939.083,28.9882,8.77434,0.931249,1,1,1,1,0,0,0
ME-SR,4,277,0.200331,0.0576567,4.02322,27.7601,17.6815,42.2307,17.7373,27.6547,18212.9,822.917,1294.43,3310.78,0.988559,7.82863,27.4425,0.988077,7.7966,27.325,1014.57,13476.8,17995.8,17995.8,13476.8,1014.57,27.325,7.7966,0.988077,1,1,1,1,0,0,0
ME-SR,5,286,0.208686,0.0580534,3.73721,39.4624,7.60528,53.3186,7.63727,39.3092,23157.2,978.883,2303.87,3658.29,0.713489,10.7988,28.156,0.713177,10.7569,28.0345,2162.45,12736.1,16515.2,16515.2,12736.1,2162.45,28.0345,10.7569,0.713177,1,1,1,1,0,0,0
ME-SR,6,294,0.205356,0.0587146,4.58062,37.3048,11.7485,55.0331,11.7974,37.1505,23405.6,809.221,1770.45,3706.74,0.727736,10.5173,27.1481,0.727366,10.4765,27.022,1443.07,13150.4,17024.4,17024.4,13150.4,1443.07,27.022,10.4765,0.727366,1,1,1,1,0,0,0
ME-SR,7,285,0.207973,0.0579212,4.60035,30.7648,10.4608,51.5865,10.5042,30.6398,18043.7,850.771,1950.3,3913.85,0.88957,10.3736,27.3674,0.889093,10.3335,27.2416,1527.25,12487.7,16042.6,16042.6,12487.7,1527.25,27.2416,10.3335,0.889093,1,1,1,1,0,0,0
ME-SR,8,293,0.205609,0.0584501,5.29379,30.3647,21.2992,45.3988,21.3724,30.2471,18507,624.717,1411.63,3307.12,0.931243,8.36073,28.277,0.930725,8.32699,28.1518,805.941,13740.9,17224.9,17224.9,13740.9,805.941,28.1518,8.32699,0.930725,1,1,1,1,0,0,0
ME-SR,9,295,0.198451,0.0592436,5.82476,30.8874,17.223,41.5076,17.2788,30.773,18050.7,645.333,1801.65,3758.91,0.945575,10.6679,29.2064,0.944932,10.627,29.0784,987.149,14730.9,17056.7,17056.7,14730.9,987.149,29.0784,10.627,0.944932,1,1,1,1,0,0,0
ME-SR,10,298,0.196733,0.0593758,5.50299,30.7564,16.6163,41.8944,16.6688,30.6402,17900.3,691.6,1805.01,3805.87,0.966952,10.6441,29.74,0.966333,10.6032,29.6086,1037.73,14967,17297.7,17297.7,14967,1037.73,29.6086,10.6032,0.966333,1,1,1,1,0,0,0
ME-SR,11,286,0.200201,0.0581857,5.39041,30.0366,21.1632,40.3864,21.233,29.9291,18530.5,629.041,1599.94,3390.79,0.926514,10.3996,27.8294,0.925977,10.36,27.7137,808.121,14148.6,17158.8,17158.8,14148.6,808.121,27.7137,10.36,0.925977,1,1,1,1,0,0,0
ME-SR,12,290,0.197066,0.0585824,5.00292,28.9852,15.9871,40.2192,16.0384,28.881,18092.4,715.048,1781.97,3577.33,0.956328,10.3761,27.7194,0.955724,10.3362,27.6022,1078.12,14741.7,17291.3,17291.3,14741.7,1078.12,27.6022,10.3362,0.955724,1,1,1,1,0,0,0
ME-SR,13,292,0.198975,0.0588469,4.90191,28.9902,20.8826,44.7541,20.9513,28.8785,18607.5,690.193,1449.63,3383.27,0.982026,8.49859,28.4692,0.98151,8.46472,28.3445,871.707,13920.4,18263.4,18263.4,13920.4,871.707,28.3445,8.46472,0.98151,1,1,1,1,0,0,0
ME-SR,14,283,0.197541,0.0575245,4.94653,28.6363,15.681,39.3061,15.7311,28.5367,18018,724.834,1764.76,3585.41,0.956127,10.1079,27.38,0.955527,10.0695,27.2676,1094.44,14559.4,17216.7,17216.7,14559.4,1094.44,27.2676,10.0695,0.955527,1,1,1,1,0,0,0
ME-SR,15,293,0.198226,0.0591113,4.90898,29.1623,20.8216,44.8187,20.8894,29.049,18702.1,694.673,1455.2,3410.13,0.981942,8.56157,28.6357,0.981424,8.52765,28.5094,878.66,14069.7,18354.7,18354.7,14069.7,878.66,28.5094,8.52765,0.981424,1,1,1,1,0,0,0
ME-SR,16,285,0.196716,0.0579212,4.90781,28.7841,15.5579,39.6306,15.6091,28.684,18049,736.492,1762.12,3614.57,0.960732,10.0496,27.6538,0.960134,10.0115,27.5404,1110.21,14850.6,17329.4,17329.4,14850.6,1110.21,27.5404,10.0115,0.960134,1,1,1,1,0,0,0
ME-SR,17,288,0.197445,0.0583179,4.92788,29.1398,20.6604,44.2701,20.7272,29.0284,18763.6,693.961,1442.15,3419.76,0.975411,8.44338,28.4232,0.974892,8.41021,28.2996,882.535,13910.7,18292.5,18292.5,13910.7,882.535,28.2996,8.41021,0.974892,1,1,1,1,0,0,0
ME-SR,18,284,0.196716,0.0577889,4.96087,29.1524,15.5697,39.9029,15.6209,29.0505,18215.9,733.585,1757.6,3639.22,0.954563,9.98338,27.8278,0.953966,9.94585,27.7132,1112.44,14787.1,17377.3,17377.3,14787.1,1112.44,27.7132,9.94585,0.953966,1,1,1,1,0,0,0
ME-SR,19,288,0.197579,0.0584501,4.90471,29.0712,20.5904,43.9394,20.6564,28.9606,18739.5,697.959,1445.28,3423.28,0.977869,8.47313,28.4278,0.97735,8.43981,28.3047,886.65,13969,18315,18315,13969,886.65,28.3047,8.43981,0.97735,1,1,1,1,0,0,0
ME-SR,20,283,0.197071,0.0576567,4.9387,28.8821,15.5405,39.5489,15.5914,28.7825,18201.9,732.925,1757.64,3619.7,0.952994,9.96317,27.5244,0.952397,9.92569,27.4124,1111.86,14787.2,17335.4,17335.4,14787.2,1111.86,27.4124,9.92569,0.952397,1,1,1,1,0,0,0
ME-SR,21,289,0.19733,0.0588469,4.90613,29.1223,20.6377,44.1987,20.7043,29.0111,18777.2,697.867,1446.51,3423.82,0.978013,8.48687,28.482,0.977493,8.45347,28.3581,886.51,13997.1,18354.5,18354.5,13997.1,886.51,28.3581,8.45347,0.977493,1,1,1,1,0,0,0
ME-SR,22,283,0.197001,0.0576567,4.9337,29.1322,15.5071,39.6694,15.5574,29.0301,18134.5,733.662,1751.55,3619.66,0.954743,9.97059,27.8137,0.954145,9.93296,27.6989,1112.2,14629.2,17302.9,17302.9,14629.2,1112.2,27.6989,9.93296,0.954145,1,1,1,1,0,0,0
ME-SR,23,290,0.196979,0.0587146,4.87678,29.1305,20.6823,44.4339,20.7493,29.0182,18759.3,698.904,1443.97,3408.4,0.980662,8.49793,28.5672,0.980143,8.46427,28.442,886.144,13954.4,18386.8,18386.8,13954.4,886.144,28.442,8.46427,0.980143,1,1,1,1,0,0,0
ME-SR,24,284,0.196264,0.0577889,4.95604,29.0802,15.5317,39.7626,15.5828,28.9788,18132.2,734.158,1759.3,3638.51,0.955945,10.0197,27.7991,0.955347,9.98198,27.6849,1111.64,14860,17322.5,17322.5,14860,1111.64,27.6849,9.98198,0.955347,1,1,1,1,0,0,0
ME-SR,25,288,0.197543,0.0584501,4.91022,29.0869,20.6011,43.9813,20.6673,28.9762,18740.8,697.012,1444.73,3422.48,0.977238,8.47126,28.4248,0.976718,8.43792,28.3016,885.673,13961.2,18304.5,18304.5,13961.2,885.673,28.3016,8.43792,0.976718,1,1,1,1,0,0,0
ME-SR,26,284,0.196713,0.0577889,4.96723,29.1727,15.5644,39.9481,15.6156,29.0708,18227.5,732.789,1757.8,3639.93,0.953651,9.97647,27.8206,0.953054,9.93897,27.706,1112.47,14790.7,17371.8,17371.8,14790.7,1112.47,27.706,9.93897,0.953054,1,1,1,1,0,0,0
ME-SR,27,288,0.197578,0.0587146,4.90591,29.0708,20.5949,43.9432,20.661,28.9602,18738.5,697.773,1445.42,3423.21,0.977885,8.47245,28.4279,0.977366,8.43914,28.3047,886.421,13969.5,18314.4,18314.4,13969.5,886.421,28.3047,8.43914,0.977366,1,1,1,1,0,0,0
