Method,Iteration,Effective_Points,RMSE,Fitness,Cond_Schur_Rot,Cond_Schur_Trans,Cond_Diag_Rot,Cond_Diag_Trans,Cond_Full_EVD_Sub_Rot,Cond_Full_EVD_Sub_Trans,Cond_Full_SVD,Lambda_Schur_Rot_0,Lambda_Schur_Rot_1,Lambda_Schur_Rot_2,Lambda_Schur_Trans_0,Lambda_Schur_Trans_1,Lambda_Schur_Trans_2,Eigenvalues_Full_0,Eigenvalues_Full_1,Eigenvalues_Full_2,Eigenvalues_Full_3,Eigenvalues_Full_4,Eigenvalues_Full_5,Singular_Values_0,Singular_Values_1,Singular_Values_2,Singular_Values_3,Singular_Values_4,Singular_Values_5,Is_Degenerate,Degenerate_Mask_0,Degenerate_Mask_1,Degenerate_Mask_2,Degenerate_Mask_3,Degenerate_Mask_4,Degenerate_Mask_5
ME-TSVD,16,812,0.145283,0.177334,2.66791,21.1167,2.86352,46.3971,2.87498,21.0205,5836.32,6747.33,12148,18001.3,6.43212,79.5175,135.825,6.43206,78.9237,135.205,13057.3,18841.2,37539.5,37539.5,18841.2,13057.3,135.205,78.9237,6.43206,1,1,1,0,0,0,0
ME-TSVD,17,812,0.145671,0.176937,2.67778,20.9659,2.93405,46.2829,2.94563,20.8694,5834.22,6723.84,11779.5,18005,6.43078,79.1342,134.827,6.43071,78.5416,134.205,12736.9,18931.2,37518.2,37518.2,18931.2,12736.9,134.205,78.5416,6.43071,1,1,1,0,0,0,0
ME-TSVD,18,812,0.145282,0.177334,2.66791,21.1165,2.86354,46.3966,2.875,21.0203,5836.27,6747.38,12148,18001.4,6.43221,79.5177,135.826,6.43215,78.9239,135.206,13057.3,18841.4,37539.8,37539.8,18841.4,13057.3,135.206,78.9239,6.43215,1,1,1,0,0,0,0
ME-TSVD,19,812,0.145669,0.176937,2.67777,20.9657,2.93407,46.2824,2.94565,20.8692,5834.19,6723.89,11779.5,18005.1,6.43085,79.1344,134.827,6.43079,78.5418,134.206,12736.9,18931.4,37518.5,37518.5,18931.4,12736.9,134.206,78.5418,6.43079,1,1,1,0,0,0,0
ME-TSVD,20,812,0.145281,0.177334,2.66791,21.1163,2.86356,46.3961,2.87501,21.0201,5836.24,6747.42,12148.1,18001.5,6.43228,79.5179,135.826,6.43222,78.9241,135.206,13057.3,18841.5,37540,37540,18841.5,13057.3,135.206,78.9241,6.43222,1,1,1,0,0,0,0
ME-TSVD,21,812,0.145668,0.176937,2.67777,20.9655,2.93408,46.2819,2.94566,20.869,5834.15,6723.93,11779.5,18005.2,6.43093,79.1346,134.828,6.43087,78.542,134.206,12736.9,18931.6,37518.7,37518.7,18931.6,12736.9,134.206,78.542,6.43087,1,1,1,0,0,0,0
ME-TSVD,22,812,0.14528,0.177334,2.66791,21.1162,2.86357,46.3957,2.87503,21.02,5836.21,6747.47,12148.1,18001.6,6.43235,79.5181,135.827,6.43229,78.9242,135.207,13057.3,18841.7,37540.2,37540.2,18841.7,13057.3,135.207,78.9242,6.43229,1,1,1,0,0,0,0
ME-TSVD,23,812,0.145667,0.176937,2.67777,20.9653,2.9341,46.2815,2.94568,20.8689,5834.12,6723.98,11779.6,18005.3,6.43101,79.1348,134.828,6.43094,78.5422,134.206,12736.9,18931.8,37518.9,37518.9,18931.8,12736.9,134.206,78.5422,6.43094,1,1,1,0,0,0,0
ME-TSVD,24,812,0.145279,0.177334,2.66791,21.116,2.86359,46.3953,2.87504,21.0198,5836.18,6747.51,12148.1,18001.7,6.43243,79.5182,135.827,6.43237,78.9244,135.207,13057.4,18841.9,37540.5,37540.5,18841.9,13057.4,135.207,78.9244,6.43237,1,1,1,0,0,0,0
ME-TSVD,25,812,0.145666,0.176937,2.67777,20.9651,2.93412,46.281,2.9457,20.8687,5834.09,6724.02,11779.6,18005.4,6.43109,79.135,134.829,6.43102,78.5424,134.207,12736.9,18931.9,37519.2,37519.2,18931.9,12736.9,134.207,78.5424,6.43102,1,1,1,0,0,0,0
ME-TSVD,26,812,0.145277,0.177334,2.6679,21.1158,2.86361,46.3948,2.87506,21.0196,5836.15,6747.56,12148.1,18001.8,6.4325,79.5185,135.827,6.43244,78.9246,135.207,13057.4,18842.1,37540.7,37540.7,18842.1,13057.4,135.207,78.9246,6.43244,1,1,1,0,0,0,0
ME-TSVD,27,812,0.145665,0.176937,2.67777,20.965,2.93413,46.2806,2.94571,20.8685,5834.05,6724.06,11779.6,18005.5,6.43116,79.1351,134.829,6.4311,78.5426,134.207,12736.9,18932.1,37519.4,37519.4,18932.1,12736.9,134.207,78.5426,6.4311,1,1,1,0,0,0,0
ME-TSVD,28,812,0.145276,0.177334,2.6679,21.1156,2.86362,46.3944,2.87508,21.0194,5836.11,6747.6,12148.1,18002,6.43258,79.5186,135.828,6.43252,78.9248,135.208,13057.4,18842.2,37540.9,37540.9,18842.2,13057.4,135.208,78.9248,6.43252,1,1,1,0,0,0,0
ME-TSVD,29,812,0.145664,0.176937,2.67777,20.9648,2.93415,46.2801,2.94573,20.8683,5834.02,6724.11,11779.6,18005.6,6.43123,79.1354,134.829,6.43117,78.5428,134.208,12737,18932.3,37519.6,37519.6,18932.3,12737,134.208,78.5428,6.43117,1,1,1,0,0,0,0
Ours,0,197,0.316698,0.0517059,7.0989,26.8056,13.6582,85.2925,13.6737,26.6512,14845.7,422.505,1447.74,2999.32,0.629416,5.60185,16.8719,0.629297,5.58111,16.7715,683.235,1993.28,9342.34,9342.34,1993.28,683.235,16.7715,5.58111,0.629297,1,0,0,0,1,0,0
Ours,1,428,0.156918,0.0859561,2.63682,10.4104,7.70683,41.8139,7.73397,10.3647,8322.52,2932.89,6170.17,7733.5,3.97671,23.0008,41.3991,3.97612,22.9079,41.2111,4278.7,22505.8,33091.3,33091.3,22505.8,4278.7,41.2111,22.9079,3.97612,1,0,0,0,1,0,0
Ours,2,602,0.112256,0.106718,3.06971,14.7682,14.3383,58.3764,14.3883,14.6919,11721.4,2692.5,7983.1,8265.22,3.57541,48.8742,52.8025,3.57508,48.6443,52.5247,2912.43,35496.1,41905,41905,35496.1,2912.43,52.5247,48.6443,3.57508,1,0,0,0,1,0,0
Ours,3,848,0.0672013,0.187252,2.6335,21.6066,8.77515,65.1246,8.81675,21.505,10054.1,6244.04,14591.3,16443.6,5.64891,99.6999,122.054,5.64875,99.1683,121.476,6441.51,52809.6,56793.2,56793.2,52809.6,6441.51,121.476,99.1683,5.64875,1,0,0,0,1,0,0
Ours,4,875,0.036115,0.203121,2.08546,13.1602,4.8926,34.095,4.91274,13.1099,5150.15,12053.3,18950.1,25136.8,12.522,122.264,164.792,12.5218,121.636,164.16,13127,58045.2,64489.3,64489.3,58045.2,13127,164.16,121.636,12.5218,1,0,0,0,1,0,0
Ours,5,873,0.031594,0.206162,2.12662,11.6573,4.84915,26.8343,4.86595,11.62,4568.88,12998.5,20211.4,27642.9,15.1181,127.655,176.235,15.1173,127.013,175.663,14194.4,60987.9,69069.3,69069.3,60987.9,14194.4,175.663,127.013,15.1173,1,0,0,0,1,0,0
Ours,6,880,0.0314744,0.206427,2.02216,11.6813,4.60371,25.6978,4.61954,11.6455,4490.72,13760.1,20644.3,27825.1,15.4608,130.495,180.603,15.4598,129.844,180.037,15028.7,62049.5,69425.6,69425.6,62049.5,15028.7,180.037,129.844,15.4598,1,0,0,0,1,0,0
Ours,7,878,0.0315127,0.20603,2.01501,11.6815,4.57931,25.7826,4.59551,11.6458,4476.36,13776.6,20751.1,27760,15.4471,130.905,180.445,15.4461,130.253,179.883,15045.6,62026.3,69142.5,69142.5,62026.3,15045.6,179.883,130.253,15.4461,1,0,0,0,1,0,0
Ours,8,880,0.0316158,0.206295,2.01057,11.6975,4.5589,25.7072,4.57498,11.6616,4456.52,13823.2,20757.8,27792.4,15.4995,130.966,181.305,15.4985,130.315,180.737,15097.2,62094.8,69069.3,69069.3,62094.8,15097.2,180.737,130.315,15.4985,1,0,0,0,1,0,0
Ours,9,882,0.0315709,0.206559,2.0098,11.7362,4.56881,25.7341,4.58494,11.7,4468.5,13820.9,20748.2,27777.3,15.487,130.781,181.758,15.486,130.131,181.186,15092.7,62186.2,69199.2,69199.2,62186.2,15092.7,181.186,130.131,15.486,1,0,0,0,1,0,0
XICP,0,6304,0.517715,0.833642,nan,nan,49.5094,4.20929,nan,nan,1366.01,nan,nan,nan,nan,nan,nan,1172.45,1468.38,3291.07,32394.8,1.39671e+06,1.60157e+06,1.60157e+06,1.39671e+06,32394.8,3291.07,1468.38,1172.45,1,0,0,1,0,0,0
XICP,1,7036,0.358648,1.76408,nan,nan,39.7115,2.26697,nan,nan,1105.21,nan,nan,nan,nan,nan,nan,1486.34,1545.89,3569.98,41368.7,1.59048e+06,1.64272e+06,1.64272e+06,1.59048e+06,41368.7,3569.98,1545.89,1486.34,0,0,0,0,0,0,0
XICP,2,6997,0.292378,2.68937,nan,nan,40.0918,2.25992,nan,nan,1103.74,nan,nan,nan,nan,nan,nan,1477.89,1536.89,3549.72,40689.9,1.58011e+06,1.63122e+06,1.63122e+06,1.58011e+06,40689.9,3549.72,1536.89,1477.89,0,0,0,0,0,0,0
XICP,3,6995,0.253855,3.61439,nan,nan,37.2014,2.23733,nan,nan,1103.5,nan,nan,nan,nan,nan,nan,1477.15,1544.09,3540.2,43816.4,1.57191e+06,1.63004e+06,1.63004e+06,1.57191e+06,43816.4,3540.2,1544.09,1477.15,0,0,0,0,0,0,0
XICP,4,6978,0.227985,4.53716,nan,nan,33.9515,2.21704,nan,nan,1096,nan,nan,nan,nan,nan,nan,1481.83,1540.73,3515.22,47834.4,1.56177e+06,1.62408e+06,1.62408e+06,1.56177e+06,47834.4,3515.22,1540.73,1481.83,0,0,0,0,0,0,0
XICP,5,6965,0.209021,5.45821,nan,nan,34.76,2.19645,nan,nan,1090.75,nan,nan,nan,nan,nan,nan,1486.73,1535.26,3504.19,46652.2,1.56116e+06,1.62164e+06,1.62164e+06,1.56116e+06,46652.2,3504.19,1535.26,1486.73,0,0,0,0,0,0,0
XICP,6,6977,0.19441,6.38085,nan,nan,33.7392,2.18855,nan,nan,1088.92,nan,nan,nan,nan,nan,nan,1494.88,1542.85,3492.86,48246.9,1.55559e+06,1.62781e+06,1.62781e+06,1.55559e+06,48246.9,3492.86,1542.85,1494.88,0,0,0,0,0,0,0
XICP,7,6968,0.182705,7.3023,nan,nan,33.7471,2.18708,nan,nan,1091.16,nan,nan,nan,nan,nan,nan,1489.33,1541.57,3489.23,48154.6,1.55407e+06,1.6251e+06,1.6251e+06,1.55407e+06,48154.6,3489.23,1541.57,1489.33,0,0,0,0,0,0,0
