Method,Run,Converged,Iterations,Time_ms,Trans_Error_m,Rot_Error_deg,Final_RMSE,Final_Fitness,Corr_Number,Transform_00,Transform_01,Transform_02,Transform_03,Transform_10,Transform_11,Transform_12,Transform_13,Transform_20,Transform_21,Transform_22,Transform_23,Transform_30,Transform_31,Transform_32,Transform_33,SVD_Sigma_0,SVD_Sigma_1,SVD_Sigma_2,SVD_Sigma_3,SVD_Sigma_4,SVD_Sigma_5,EVD_Lambda_0,EVD_Lambda_1,EVD_Lambda_2,EVD_Lambda_3,EVD_Lambda_4,EVD_Lambda_5,Schur_Rot_Lambda_0,Schur_Rot_Lambda_1,Schur_Rot_Lambda_2,Schur_Trans_Lambda_0,Schur_Trans_Lambda_1,Schur_Trans_Lambda_2,Cond_Full_SVD,Cond_Sub_Rot,Cond_Sub_Trans,Cond_Schur_Rot,Cond_Schur_Trans,Degenerate_Mask_0,Degenerate_Mask_1,Degenerate_Mask_2,Degenerate_Mask_3,Degenerate_Mask_4,Degenerate_Mask_5SuperLoc_Has_Data,SuperLoc_Uncertainty_X,SuperLoc_Uncertainty_Y,SuperLoc_Uncertainty_Z,SuperLoc_Uncertainty_Roll,SuperLoc_Uncertainty_Pitch,SuperLoc_Uncertainty_Yaw,SuperLoc_Cond_Full,SuperLoc_Cond_Rot,SuperLoc_Cond_Trans,SuperLoc_Is_Degenerate
FCN-SR,0,1,2,50.1764,0.0172606,0.0659859,0.0316272,0.206824,7562,1,0.000233182,-0.000904054,0.00994007,-0.000233792,1,-0.000674179,0.00995572,0.000903897,0.00067439,0.999999,0.0100003,0,0,0,115.8123,132.492,185.261,16707.8,61785.2,70731.7,15.8123,132.492,185.261,16707.8,61785.2,70731.7,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,4473.2,0.0,0.0,1,1,1,0,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
ME-SR,0,1,3,4.95567,0.0140851,0.0552298,0.0317023,0.205633,7562,1,0.000413463,-0.000868621,0.00920491,-0.000413516,1,-6.08767e-05,-0.0011969,0.000868596,6.12359e-05,1,0.0105938,0,0,0,117.0727,136.333,188.671,17512.3,63272,70195.7,17.0727,136.333,188.671,17512.3,63272,70195.7,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,4111.57,0.0,0.0,1,0,0,0,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
ME-TReg,0,1,7,11.0003,0.0217541,0.0530801,0.0315419,0.20603,7562,1,0.000395197,-0.00082898,0.00896302,-0.000395298,1,-0.000121781,-0.000458258,0.000828932,0.000122108,1,0.0198165,0,0,0,116.9974,136.85,187.408,17508.1,63843.9,70560.9,16.9974,136.85,187.408,17508.1,63843.9,70560.9,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,4151.29,0.0,0.0,1,0,0,0,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
ME-TSVD,0,1,3,4.80286,0.0265998,0.0589286,0.0328588,0.20484,7562,1,0.000376481,-0.000571375,0.00880896,-0.000376042,1,0.000767963,-0.000224599,0.000571663,-0.000767747,1,0.0250979,0,0,0,116.7787,134.359,186.133,17480.6,62363.7,69064.5,16.7787,134.359,186.133,17480.6,62363.7,69064.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,4116.19,0.0,0.0,1,0,0,0,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
XICP,0,1,2,12.5921,3.36984e-06,1.25391e-06,0.0100172,1,7562,1,1.00586e-08,-1.36036e-08,2.27794e-06,-1.00586e-08,1,-1.38822e-08,2.26936e-06,1.36036e-08,1.38822e-08,1,1.00838e-06,0,0,0,11634.56,1681.75,3758.68,47006.3,1.72463e+06,1.78352e+06,1634.56,1681.75,3758.68,47006.3,1.72463e+06,1.78352e+06,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,1091.13,0.0,0.0,0,0,1,0,0,00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
