Method,Run,Converged,Iterations,Time_ms,Trans_Error_m,Rot_Error_deg,ICP_RMSE,ICP_Fitness,P2P_RMSE,P2P_Fitness,Chamfer_Distance
FCN-SR,0,1,2,50.1764,0.0172606,0.0659859,0.0316272,0.206824,0.0326204,1,0.0298535
ME-SR,0,1,3,4.95567,0.0140851,0.0552298,0.0317023,0.205633,0.0289797,1,0.0265491
ME-TReg,0,1,7,11.0003,0.0217541,0.0530801,0.0315419,0.20603,0.0326996,1,0.0293624
ME-TSVD,0,1,3,4.80286,0.0265998,0.0589286,0.0328588,0.20484,0.0379092,1,0.0348411
XICP,0,1,2,12.5921,3.36984e-06,1.25391e-06,0.0100172,1,3.86209e-06,1,3.77433e-06
